irb_id	step	cwd	argv	cmd_path	stdout_path	stderr_path	exit_path	files_present
IRB-3	main-check	/tmp/saqut-sq090-ir-baseline-NdIQWO/fixtures/irb3	 /tmp/saqut-sq090-ir-baseline-NdIQWO/build/saqut check main.sqt	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-3-main-check.cmd	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-3-main-check.stdout	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-3-main-check.stderr	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-3-main-check.exit	true
IRB-4	check	/home/saqut/Masaüstü/saqutcompiler	 /tmp/saqut-sq090-ir-baseline-NdIQWO/build/saqut check /tmp/saqut-sq090-ir-baseline-NdIQWO/fixtures/irb4/main.sqt	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-4-check.cmd	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-4-check.stdout	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-4-check.stderr	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-4-check.exit	true
IRB-4	ir	/home/saqut/Masaüstü/saqutcompiler	 /tmp/saqut-sq090-ir-baseline-NdIQWO/build/saqut ir /tmp/saqut-sq090-ir-baseline-NdIQWO/fixtures/irb4/main.sqt	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-4-ir.cmd	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-4-ir.stdout	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-4-ir.stderr	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-4-ir.exit	true
IRB-4	run	/home/saqut/Masaüstü/saqutcompiler	 /tmp/saqut-sq090-ir-baseline-NdIQWO/build/saqut run /tmp/saqut-sq090-ir-baseline-NdIQWO/fixtures/irb4/main.sqt	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-4-run.cmd	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-4-run.stdout	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-4-run.stderr	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-4-run.exit	true
IRB-6	ir	/home/saqut/Masaüstü/saqutcompiler	 /tmp/saqut-sq090-ir-baseline-NdIQWO/build/saqut ir /tmp/saqut-sq090-ir-baseline-NdIQWO/fixtures/irb6/globals.sqt	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-6-ir.cmd	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-6-ir.stdout	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-6-ir.stderr	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-6-ir.exit	true
IRB-6	run	/home/saqut/Masaüstü/saqutcompiler	 /tmp/saqut-sq090-ir-baseline-NdIQWO/build/saqut run /tmp/saqut-sq090-ir-baseline-NdIQWO/fixtures/irb6/globals.sqt	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-6-run.cmd	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-6-run.stdout	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-6-run.stderr	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-6-run.exit	true
IRB-5	loadconst-ir	/home/saqut/Masaüstü/saqutcompiler	 /tmp/saqut-sq090-ir-baseline-NdIQWO/build/saqut ir /tmp/saqut-sq090-ir-baseline-NdIQWO/fixtures/irb5/loadconst.sqt	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-5-loadconst-ir.cmd	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-5-loadconst-ir.stdout	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-5-loadconst-ir.stderr	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-5-loadconst-ir.exit	true
IRB-5	loadlong-check	/home/saqut/Masaüstü/saqutcompiler	 /tmp/saqut-sq090-ir-baseline-NdIQWO/build/saqut check /tmp/saqut-sq090-ir-baseline-NdIQWO/fixtures/irb5/loadlong.sqt	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-5-loadlong-check.cmd	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-5-loadlong-check.stdout	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-5-loadlong-check.stderr	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-5-loadlong-check.exit	true
IRB-5	loadlong-ir	/home/saqut/Masaüstü/saqutcompiler	 /tmp/saqut-sq090-ir-baseline-NdIQWO/build/saqut ir /tmp/saqut-sq090-ir-baseline-NdIQWO/fixtures/irb5/loadlong.sqt	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-5-loadlong-ir.cmd	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-5-loadlong-ir.stdout	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-5-loadlong-ir.stderr	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-5-loadlong-ir.exit	true
IRB-5	loadfloat32-check	/home/saqut/Masaüstü/saqutcompiler	 /tmp/saqut-sq090-ir-baseline-NdIQWO/build/saqut check /tmp/saqut-sq090-ir-baseline-NdIQWO/fixtures/irb5/loadfloat32.sqt	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-5-loadfloat32-check.cmd	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-5-loadfloat32-check.stdout	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-5-loadfloat32-check.stderr	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-5-loadfloat32-check.exit	true
IRB-5	loadfloat32-ir	/home/saqut/Masaüstü/saqutcompiler	 /tmp/saqut-sq090-ir-baseline-NdIQWO/build/saqut ir /tmp/saqut-sq090-ir-baseline-NdIQWO/fixtures/irb5/loadfloat32.sqt	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-5-loadfloat32-ir.cmd	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-5-loadfloat32-ir.stdout	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-5-loadfloat32-ir.stderr	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-5-loadfloat32-ir.exit	true
IRB-5	cap-check-allowfs	/home/saqut/Masaüstü/saqutcompiler	 /tmp/saqut-sq090-ir-baseline-NdIQWO/build/saqut check --allow-fs /tmp/saqut-sq090-ir-baseline-NdIQWO/fixtures/irb5/cap.sqt	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-5-cap-check-allowfs.cmd	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-5-cap-check-allowfs.stdout	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-5-cap-check-allowfs.stderr	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-5-cap-check-allowfs.exit	true
IRB-5	cap-ir-allowfs	/home/saqut/Masaüstü/saqutcompiler	 /tmp/saqut-sq090-ir-baseline-NdIQWO/build/saqut ir --allow-fs /tmp/saqut-sq090-ir-baseline-NdIQWO/fixtures/irb5/cap.sqt	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-5-cap-ir-allowfs.cmd	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-5-cap-ir-allowfs.stdout	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-5-cap-ir-allowfs.stderr	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-5-cap-ir-allowfs.exit	true
IRB-7	normal	/home/saqut/Masaüstü/saqutcompiler	 /tmp/saqut-sq090-ir-baseline-NdIQWO/build/saqut ir --allow-fs /tmp/saqut-sq090-ir-baseline-NdIQWO/fixtures/irb5/cap.sqt	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-7-normal.cmd	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-7-normal.stdout	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-7-normal.stderr	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-7-normal.exit	true
IRB-7	capsflag	/home/saqut/Masaüstü/saqutcompiler	 /tmp/saqut-sq090-ir-baseline-NdIQWO/build/saqut ir --allow-fs --capabilities /tmp/saqut-sq090-ir-baseline-NdIQWO/fixtures/irb5/cap.sqt	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-7-capsflag.cmd	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-7-capsflag.stdout	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-7-capsflag.stderr	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-7-capsflag.exit	true
IRB-8	redirect	/home/saqut/Masaüstü/saqutcompiler	/tmp/saqut-sq090-ir-baseline-NdIQWO/build/saqut ir /home/saqut/Masaüstü/saqutcompiler/examples/fibonacci.sqt	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-8-redirect.cmd	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/irb8-stdout.raw	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/irb8-stderr.raw	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-8-redirect.exit	true
IRB-9	inventory	/home/saqut/Masaüstü/saqutcompiler	 ctest --test-dir /tmp/saqut-sq090-ir-baseline-NdIQWO/build -N	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-9-inventory.cmd	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-9-inventory.stdout	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-9-inventory.stderr	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-9-inventory.exit	true
IRB-9	run-anchored	/home/saqut/Masaüstü/saqutcompiler	 ctest --test-dir /tmp/saqut-sq090-ir-baseline-NdIQWO/build -R ^(golden_opt_dce_ir_opt|golden_opt_folding_ir_opt)$	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-9-run-anchored.cmd	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-9-run-anchored.stdout	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-9-run-anchored.stderr	/home/saqut/Masaüstü/saqutcompiler/tasks/SQ-090-IR-BASELINE/evidence/revalidation-01/IRB-9-run-anchored.exit	true
